Unnamed: 0,Brand,Year,months,days,Qty,Rate,Amount
121,65,2018,9,10,40,1800.0,72000.0
122,76,2018,9,10,40,1500.0,60000.0
123,57,2018,9,10,20,3300.0,66000.0
124,10,2018,9,10,28,2480.0,69440.0
125,65,2018,9,10,100,1800.0,180000.0
126,76,2018,9,10,50,1500.0,75000.0
127,10,2018,9,10,70,2480.0,173600.0
128,76,2018,9,10,100,1500.0,150000.0
129,20,2018,9,10,120,500.0,60000.0
130,76,2018,9,10,100,1500.0,150000.0
131,10,2018,9,10,35,2480.0,86800.0
132,76,2018,9,10,50,1500.0,75000.0
133,10,2018,9,11,35,2480.0,86800.0
134,76,2018,9,11,50,1500.0,75000.0
135,22,2018,9,11,25,3300.0,82500.0
136,9,2018,9,11,30,2820.0,84600.0
137,10,2018,9,11,70,2480.0,173600.0
138,76,2018,9,11,100,1500.0,150000.0
139,22,2018,9,11,25,3300.0,82500.0
140,9,2018,9,11,30,2820.0,84600.0
141,22,2018,9,11,35,3300.0,115500.0
142,9,2018,9,11,48,2820.0,135360.0
143,22,2018,9,11,25,3300.0,82500.0
144,9,2018,9,11,30,2820.0,84600.0
145,20,2018,9,11,120,500.0,60000.0
146,76,2018,9,11,30,1500.0,45000.0
147,27,2018,9,11,30,1500.0,45000.0
148,10,2018,9,11,21,2480.0,52080.0
149,9,2018,9,11,18,2830.0,50940.0
150,22,2018,9,11,15,3300.0,49500.0
151,57,2018,9,11,25,3280.0,82000.0
152,10,2018,9,11,70,2480.0,173600.0
153,22,2018,9,11,50,3300.0,165000.0
154,9,2018,9,11,60,2820.0,169200.0
155,10,2018,9,11,35,2480.0,86800.0
156,9,2018,9,11,30,2820.0,84600.0
157,37,2018,9,11,30,1780.0,53400.0
158,22,2018,9,11,10,3300.0,33000.0
159,10,2018,9,11,70,2480.0,173600.0
160,22,2018,9,11,50,3300.0,165000.0
161,9,2018,9,11,60,2820.0,169200.0
162,22,2018,9,11,25,3300.0,82500.0
163,9,2018,9,11,30,2820.0,84600.0
164,10,2018,9,11,28,2480.0,69440.0
165,76,2018,9,11,100,1500.0,150000.0
166,20,2018,9,11,360,500.0,180000.0
167,10,2018,9,11,105,2480.0,260400.0
168,57,2018,9,11,75,3250.0,243750.0
169,53,2018,9,11,100,1780.0,178000.0
170,65,2018,9,11,200,1780.0,356000.0
171,76,2018,9,11,100,1500.0,150000.0
172,20,2018,9,11,240,500.0,120000.0
173,65,2018,9,11,100,1780.0,178000.0
174,22,2018,9,11,25,3300.0,82500.0
175,9,2018,9,11,30,2820.0,84600.0
176,22,2018,9,11,15,3300.0,49500.0
177,9,2018,9,11,18,2820.0,50760.0
178,20,2018,9,11,240,500.0,120000.0
179,65,2018,9,11,150,1800.0,270000.0
180,76,2018,9,11,100,1500.0,150000.0
181,53,2018,9,11,50,1800.0,90000.0
182,10,2018,9,11,70,2480.0,173600.0
183,9,2018,9,11,60,2820.0,169200.0
184,22,2018,9,11,50,3300.0,165000.0
185,57,2018,9,11,50,3250.0,162500.0
186,20,2018,9,12,360,500.0,180000.0
187,65,2018,9,12,200,1800.0,360000.0
188,53,2018,9,12,150,1800.0,270000.0
189,57,2018,9,12,75,3250.0,243750.0
190,76,2018,9,12,200,1500.0,300000.0
191,9,2018,9,12,90,2820.0,253800.0
192,22,2018,9,12,75,3300.0,247500.0
193,10,2018,9,12,105,2480.0,260400.0
194,65,2018,9,12,20,1800.0,36000.0
195,76,2018,9,12,20,1500.0,30000.0
196,10,2018,9,12,7,2480.0,17360.0
197,9,2018,9,12,6,2820.0,16920.0
198,20,2018,9,12,24,510.0,12240.0
199,57,2018,9,12,5,3300.0,16500.0
200,22,2018,9,12,5,3300.0,16500.0
201,57,2018,9,12,7,2480.0,17360.0
202,65,2018,9,12,300,1800.0,540000.0
203,53,2018,9,12,100,1800.0,180000.0
204,57,2018,9,12,65,3250.0,211250.0
205,20,2018,9,12,240,500.0,120000.0
206,76,2018,9,12,300,1500.0,450000.0
207,10,2018,9,12,77,2480.0,190960.0
208,9,2018,9,12,78,2820.0,219960.0
209,22,2018,9,12,65,3300.0,214500.0
210,10,2018,9,13,35,2480.0,86800.0
211,9,2018,9,13,30,2820.0,84600.0
212,22,2018,9,13,25,3300.0,82500.0
213,10,2018,9,13,35,2480.0,86800.0
214,9,2018,9,13,30,2820.0,84600.0
215,22,2018,9,13,25,3300.0,82500.0
216,57,2018,9,13,15,3250.0,48750.0
217,20,2018,9,13,48,500.0,24000.0
218,65,2018,9,13,30,1780.0,53400.0
219,76,2018,9,13,30,1500.0,45000.0
220,10,2018,9,13,14,2480.0,34720.0
221,57,2018,9,13,5,3250.0,16250.0
222,9,2018,9,13,6,2820.0,16920.0
223,65,2018,9,13,50,1780.0,89000.0
224,57,2018,9,13,10,3250.0,32500.0
225,76,2018,9,13,10,1500.0,15000.0
226,10,2018,9,13,7,2480.0,17360.0
227,9,2018,9,13,6,2820.0,16920.0
228,22,2018,9,13,5,3300.0,16500.0
229,76,2018,9,16,10,1500.0,15000.0
230,10,2018,9,16,35,2480.0,86800.0
231,76,2018,9,16,50,1500.0,75000.0
232,9,2018,9,16,24,2820.0,67680.0
233,22,2018,9,16,15,3300.0,49500.0
234,10,2018,9,16,35,2480.0,86800.0
235,9,2018,9,16,30,2820.0,84600.0
236,57,2018,9,16,25,3250.0,81250.0
237,22,2018,9,16,15,3300.0,49500.0
238,76,2018,9,16,10,1500.0,15000.0
239,65,2018,9,16,10,1800.0,18000.0
240,9,2018,9,16,6,2850.0,17100.0
241,10,2018,9,16,7,2500.0,17500.0
242,57,2018,9,16,5,3300.0,16500.0
243,53,2018,9,16,10,1800.0,18000.0
244,20,2018,9,16,24,500.0,12000.0
245,10,2018,9,16,7,2480.0,17360.0
246,9,2018,9,16,6,2820.0,16920.0
247,22,2018,9,16,5,3300.0,16500.0
248,20,2018,9,16,24,500.0,12000.0
249,10,2018,9,17,7,2500.0,17500.0
250,9,2018,9,17,6,2850.0,17100.0
251,57,2018,9,17,5,3300.0,16500.0
252,76,2018,9,17,10,1500.0,15000.0
253,53,2018,9,17,10,1800.0,18000.0
254,65,2018,9,17,100,1800.0,180000.0
255,9,2018,9,17,60,2820.0,169200.0
256,10,2018,9,17,70,2480.0,173600.0
257,20,2018,9,17,48,500.0,24000.0
258,57,2018,9,17,25,3250.0,81250.0
259,10,2018,9,17,35,2480.0,86800.0
260,76,2018,9,17,50,1500.0,75000.0
261,22,2018,9,17,25,3300.0,82500.0
262,57,2018,9,17,10,3250.0,32500.0
263,10,2018,9,17,14,2480.0,34720.0
264,9,2018,9,17,12,2820.0,33840.0
265,22,2018,9,17,10,3300.0,33000.0
266,76,2018,9,17,100,1500.0,150000.0
267,27,2018,9,17,100,1500.0,150000.0
268,65,2018,9,17,100,1800.0,180000.0
269,10,2018,9,17,21,2480.0,52080.0
270,57,2018,9,17,10,3250.0,32500.0
