,Product Name,Price
95,"realme Narzo 30A (Laser Blue, 64 GB)","₹9,999"
96,"REDMI NOTE 10 LITE (Glacier White, 128 GB)","₹14,688"
97,"REDMI Note 11T 5G (Matte black, 128 GB)","₹21,999"
98,"Redmi 9A (SeaBlue, 32 GB)","₹7,708"
99,"Redmi 9A (Midnight Black, 32 GB)","₹7,692"
100,"Redmi 9A (Nature Green, 32 GB)","₹7,689"
101,"Xiaomi 11Lite NE (Diamond Dazzle, 128 GB)","₹26,488"
102,"Redmi 9A (Midnight Black, 32 GB)","₹8,484"
103,"REDMI Note 10 lite (Glacier White, 64 GB)","₹14,990"
104,"Redmi 9A Sport (Coral Green, 32 GB)","₹8,475"
105,"Redmi 9A Sport (Metallic Blue, 32 GB)","₹8,675"
106,"Redmi 9A Sport (Coral Green, 32 GB)","₹8,098"
107,"Redmi 9A Sport (Carbon Black, 32 GB)","₹7,829"
108,"Redmi 9A Sport (Carbon Black, 32 GB)","₹8,400"
109,"REDMI Note 11T 5G (Matte black, 128 GB)","₹19,742"
110,"REDMI Note 11T 5G (Stardust White, 128 GB)","₹19,498"
111,"Redmi 9A (Nature Green, 32 GB)","₹8,543"
112,"Xiaomi 11Lite NE (Tuscany Coral, 128 GB)","₹26,418"
113,"Xiaomi 11Lite NE (Jazz Blue, 128 GB)","₹23,749"
114,"MI 11X 5G (COSMIC BLACK, 128 GB)","₹25,747"
115,"REDMI Note 11T 5G (Aquamarine Blue, 128 GB)","₹18,936"
116,"Mi 11X (Celestial Silver, 128 GB)","₹27,999"
117,"Redmi 9A (Sea Blue, 32 GB)","₹8,545"
118,"MI 11X 5G (CELESTIAL SILVER, 128 GB)","₹26,695"
119,"MI 11X 5G (LUNAR WHITE, 128 GB)","₹25,835"
120,"SAMSUNG Galaxy F12 (Sea Green, 64 GB)","₹11,499"
121,"SAMSUNG Galaxy F12 (Sky Blue, 64 GB)","₹11,499"
122,"SAMSUNG Galaxy F12 (Celestial Black, 64 GB)","₹11,499"
123,"SAMSUNG Galaxy F22 (Denim Black, 64 GB)","₹12,999"
124,"SAMSUNG Galaxy F22 (Denim Blue, 64 GB)","₹12,999"
125,"SAMSUNG Galaxy F12 (Sky Blue, 128 GB)","₹12,499"
126,"SAMSUNG Galaxy F12 (Sea Green, 128 GB)","₹12,499"
127,"SAMSUNG Galaxy F12 (Celestial Black, 128 GB)","₹12,499"
128,"SAMSUNG Galaxy F42 5G (Matte Black, 128 GB)","₹20,999"
129,"SAMSUNG Galaxy F42 5G (Matte Aqua, 128 GB)","₹20,999"
130,"SAMSUNG Galaxy F42 5G (Matte Black, 128 GB)","₹22,999"
131,"SAMSUNG Galaxy A22 5G (Violet, 128 GB)","₹18,990"
132,"SAMSUNG Galaxy M12 (White, 128 GB)","₹13,789"
133,"SAMSUNG Galaxy F42 5G (Matte Aqua, 128 GB)","₹22,999"
134,"SAMSUNG Galaxy M32 (Black, 64 GB)","₹14,749"
135,"SAMSUNG Galaxy A52 (Awesome Black, 128 GB)","₹24,668"
136,"SAMSUNG Galaxy M32 (Black, 128 GB)","₹17,945"
137,"SAMSUNG Galaxy M12 (White, 64 GB)","₹11,044"
138,SAMSUNG Metro 313 Dual Sim,"₹2,550"
139,"SAMSUNG Galaxy M12 (Blue, 64 GB)","₹11,086"
140,"SAMSUNG Galaxy M12 (Blue, 128 GB)","₹14,225"
141,"SAMSUNG Galaxy M12 (Black, 128 GB)","₹13,817"
142,"SAMSUNG Galaxy A22 5G (Mint, 128 GB)","₹21,290"
143,"SAMSUNG Galaxy A32 (Awesome Blue, 128 GB)","₹23,499"
144,"Infinix Hot 10S (Heart Of Ocean, 64 GB)","₹9,999"
145,"Infinix Smart 5A (Quetzal Cyan, 32 GB)","₹7,199"
146,"Infinix Smart 5A (Midnight Black, 32 GB)","₹7,199"
147,"Infinix Smart 5A (Ocean Wave, 32 GB)","₹7,199"
148,"Infinix Hot 10 Play (7° Purple, 64 GB)","₹9,299"
149,"Infinix Hot 11S (7° Purple, 64 GB)","₹10,999"
150,"Infinix Hot 10S (95° Black, 64 GB)","₹9,999"
151,"Infinix Hot 11S (Green Wave, 64 GB)","₹10,999"
152,"Infinix Hot 10S (Morandi Green, 64 GB)","₹10,999"
153,"Infinix Smart 5 (Aegean Blue, 32 GB)","₹7,499"
154,"Infinix Smart 5 (7 Purple, 32 GB)","₹7,499"
155,"Infinix Hot 11 (Emerald Green, 64 GB)","₹9,999"
156,"Infinix Hot 11S (Polar Black, 128 GB)","₹11,999"
157,"Infinix Note 11s (Mithril Grey, 64 GB)","₹13,999"
158,"Infinix Note 11s (Haze Green, 64 GB)","₹13,999"
159,"Infinix Note 11s Free Fire Edition (Haze Green, 128 GB)","₹15,999"
160,"Infinix Hot 11S (Green Wave, 128 GB)","₹11,999"
161,"Infinix Note 11s Free Fire Edition (Mithril Grey, 128 GB)","₹15,999"
162,"Infinix Note 10 Pro (95° Black, 256 GB)","₹16,999"
163,"Infinix Note 11 (Celestial Snow, 128 GB)","₹14,499"
164,"Infinix Note 11 (Celestial Snow, 64 GB)","₹12,499"
165,"Infinix Note 11 (Graphite Black, 128 GB)","₹14,499"
166,"Infinix Note 10 Pro (Nordic Secret, 256 GB)","₹16,999"
167,"Infinix Note 11 (Glacier Green, 128 GB)","₹14,499"
168,"APPLE iPhone 12 Mini (Black, 64 GB)","₹49,999"
169,"APPLE iPhone SE (Black, 64 GB)","₹29,999"
170,"APPLE iPhone 12 (Black, 64 GB)","₹60,099"
171,"APPLE iPhone SE (White, 64 GB)","₹29,999"
172,"APPLE iPhone 12 Mini (White, 64 GB)","₹49,999"
173,"APPLE iPhone SE (Red, 64 GB)","₹29,999"
174,"APPLE iPhone 12 Mini (Blue, 64 GB)","₹49,999"
175,"Apple iPhone XR ((PRODUCT)RED, 64 GB) (Includes EarPods, Power Adapter)","₹47,900"
176,"APPLE iPhone 12 (Blue, 128 GB)","₹64,999"
177,"APPLE iPhone SE (Black, 128 GB)","₹34,999"
178,"Apple iPhone XR (White, 64 GB) (Includes EarPods, Power Adapter)","₹47,900"
179,"APPLE iPhone SE (Red, 128 GB)","₹34,999"
180,"APPLE iPhone XR ((PRODUCT)RED, 128 GB)","₹52,900"
181,"Apple iPhone XR ((PRODUCT)RED, 128 GB) (Includes EarPods, Power Adapter)","₹52,900"
182,"APPLE iPhone SE (White, 128 GB)","₹34,999"
183,"APPLE iPhone XR (Black, 128 GB)","₹52,900"
184,"APPLE iPhone 13 (Midnight, 256 GB)","₹89,900"
185,"APPLE iPhone 13 (Midnight, 128 GB)","₹79,900"
186,"APPLE iPhone 13 (Starlight, 128 GB)","₹79,900"
187,"APPLE iPhone 13 ((PRODUCT)RED, 256 GB)","₹89,900"
188,"APPLE iPhone 13 (Pink, 128 GB)","₹79,900"
189,"APPLE iPhone 13 (Blue, 128 GB)","₹79,900"
190,"APPLE iPhone 11 (Black, 64 GB)","₹49,900"
191,"APPLE iPhone 13 Mini ((PRODUCT)RED, 128 GB)","₹69,900"
192,"vivo X70 Pro (Cosmic Black, 256 GB)","₹52,990"
193,"vivo X70 Pro (Aurora Dawn, 256 GB)","₹52,990"
194,"vivo X70 Pro (Aurora Dawn, 256 GB)","₹49,990"
195,"vivo X70 Pro (Aurora Dawn, 128 GB)","₹46,990"
196,"vivo X70 Pro+ (Enigma Black, 256 GB)","₹79,990"
197,"vivo X70 Pro (Cosmic Black, 128 GB)","₹46,990"
198,"vivo X70 Pro (Cosmic Black, 256 GB)","₹49,990"
199,"realme Narzo 50A (Oxygen Green, 128 GB)","₹12,499"
200,"realme Narzo 50A (Oxygen Blue, 128 GB)","₹12,499"
201,"realme Narzo 50A (Oxygen Blue, 64 GB)","₹11,549"
202,"realme Narzo 50A (Oxygen Green, 64 GB)","₹11,549"
203,"POCO M3 Pro 5G (Cool Blue, 64 GB)","₹14,499"
204,"POCO M3 Pro 5G (Power Black, 64 GB)","₹14,499"
205,"POCO M3 Pro 5G (Yellow, 128 GB)","₹16,499"
206,"POCO M3 Pro 5G (Yellow, 64 GB)","₹14,499"
207,"POCO M3 Pro 5G (Power Black, 128 GB)","₹16,499"
208,"POCO M3 Pro 5G (Cool Blue, 128 GB)","₹16,499"
209,"OPPO F19s (Glowing Gold, 128 GB)","₹19,390"
210,"OPPO F19s (Glowing Black, 128 GB)","₹19,990"
211,"APPLE iPhone 12 (Black, 64 GB)","₹60,099"
212,"APPLE iPhone 12 (Blue, 128 GB)","₹64,999"
213,"APPLE iPhone 12 (Blue, 64 GB)","₹60,099"
214,"APPLE iPhone 12 (White, 128 GB)","₹64,999"
215,"APPLE iPhone 12 (Black, 128 GB)","₹64,999"
216,"APPLE iPhone 12 (Red, 64 GB)","₹59,999"
217,"APPLE iPhone 12 (Purple, 128 GB)","₹64,999"
218,"APPLE iPhone 12 (Green, 128 GB)","₹64,999"
219,"APPLE iPhone 12 (White, 64 GB)","₹59,999"
220,"APPLE iPhone 12 (Green, 256 GB)","₹74,999"
221,"APPLE iPhone 12 (Red, 128 GB)","₹64,999"
222,"APPLE iPhone 12 (Blue, 256 GB)","₹74,999"
223,"APPLE iPhone 12 (Green, 64 GB)","₹60,099"
224,"APPLE iPhone 12 (Purple, 64 GB)","₹59,999"
225,"APPLE iPhone 12 (White, 256 GB)","₹74,999"
226,"APPLE iPhone 12 (Red, 256 GB)","₹74,999"
227,"APPLE iPhone 12 (Black, 256 GB)","₹74,999"
228,"APPLE iPhone 12 (Purple, 256 GB)","₹74,999"
229,"SAMSUNG Galaxy F42 5G (Matte Black, 128 GB)","₹20,999"
230,"SAMSUNG Galaxy F42 5G (Matte Aqua, 128 GB)","₹20,999"
231,"SAMSUNG Galaxy F42 5G (Matte Black, 128 GB)","₹22,999"
232,"SAMSUNG Galaxy F42 5G (Matte Aqua, 128 GB)","₹22,999"
233,"MOTOROLA Edge 20 Pro (Midnight Sky, 128 GB)","₹36,999"
234,"MOTOROLA Edge 20 Pro (Iridescent Cloud, 128 GB)","₹36,999"
235,"realme Narzo 50A (Oxygen Blue, 128 GB)","₹12,499"
236,"realme Narzo 50A (Oxygen Blue, 64 GB)","₹11,549"
237,"realme Narzo 50A (Oxygen Green, 64 GB)","₹11,549"
238,"realme Narzo 50A (Oxygen Green, 128 GB)","₹12,499"
239,"realme C11 2021 (Cool Grey, 32 GB)","₹7,499"
240,"realme C11 2021 (Cool Blue, 32 GB)","₹7,499"
241,"realme C11 2021 (Cool Blue, 64 GB)","₹8,999"
242,"realme C11 2021 (Cool Grey, 64 GB)","₹8,999"
243,"realme C21Y (Cross Black, 64 GB)","₹10,499"
244,"realme C21Y (Cross Blue, 64 GB)","₹10,499"
245,"realme C21Y (Cross Blue, 32 GB)","₹9,499"
246,"realme C21Y (Cross Black, 32 GB)","₹9,499"
247,"realme 9i (Prism Blue, 128 GB)","₹15,999"
248,"realme 9i (Prism Black, 128 GB)","₹15,999"
249,"realme 9i (Prism Blue, 64 GB)","₹13,999"
250,"realme 9i (Prism Black, 64 GB)","₹13,999"
251,"vivo V23 Pro 5G (Stardust Black, 128 GB)","₹38,990"
