,Day,DayAmount
326,737368,577971.5
327,737373,12925.0
328,737375,100.0
329,737377,7052200.0
330,737379,5132025.0
331,737380,0.0
332,737382,815000.0
333,737383,55000.0
334,737386,0.0
335,737391,15754650.0
336,737399,269971.5
337,737401,0.0
338,737402,0.0
339,737405,7800000.0
340,737409,0.0
341,737411,160050.0
342,737455,14048300.0
343,737481,0.0
344,737482,0.0
345,737491,0.0
346,737503,193336.0
347,737505,12000.0
348,737510,0.0
349,737511,0.0
350,737519,36000.0
351,737523,0.0
352,737525,0.0
353,737526,2000.0
354,737530,0.0
355,737536,0.0
356,737541,25.0
357,737549,0.0
358,737552,0.0
359,737558,17290.0
360,737560,315000.0
361,737571,58561150.0
362,737572,2638000.0
363,737575,500000.0
364,737576,10100.0
365,737577,20.0
366,737579,6000.0
367,737580,10.0
368,737582,10.0
369,737586,361000.0
370,737591,6320000.0
371,737592,2000000.0
372,737596,0.0
373,737599,100000.0
374,737605,1759193.0
375,737606,160.0
376,737607,12764900.0
377,737608,517400.0
378,737610,675000.0
379,737612,48000.0
380,737613,12875.0
381,737618,2130.0
382,737621,25030.0
383,737627,100.0
384,737628,1100.0
385,737633,813175.0
386,737634,10.0
387,737635,6000.0
388,737637,12387000.0
389,737638,7188500.0
390,737639,250.0
391,737640,5000.0
392,737645,5100.0
393,737646,307000.0
394,737647,2540440.0
395,737649,1008000.0
396,737652,8650.0
397,737653,114088.0
398,737655,5681580.0
399,737656,140000.0
400,737658,13800.0
401,737660,48790.0
402,737661,2500.0
403,737662,40500.0
404,737663,2500.0
405,737664,299960.0
406,737666,94500.0
407,737667,6986820.0
408,737668,130000.0
409,737672,216200.0
410,737673,33610.0
411,737674,1289300.0
412,737675,112750.0
413,737676,14327100.0
414,737677,1000.0
415,737679,15237280.0
416,737680,14410260.0
417,737681,886900.0
418,737682,3879.0
419,737683,46000.0
420,737684,8139500.0
421,737685,4400.0
422,737686,1436460.0
423,737687,222510.0
424,737688,12392990.0
425,737689,50.0
