Brand,Year,months,days,Qty,Rate,Amount
10,2018,9,11,70,2480.0,173600.0
22,2018,9,11,50,3300.0,165000.0
9,2018,9,11,60,2820.0,169200.0
10,2018,9,11,35,2480.0,86800.0
9,2018,9,11,30,2820.0,84600.0
37,2018,9,11,30,1780.0,53400.0
22,2018,9,11,10,3300.0,33000.0
10,2018,9,11,70,2480.0,173600.0
22,2018,9,11,50,3300.0,165000.0
9,2018,9,11,60,2820.0,169200.0
22,2018,9,11,25,3300.0,82500.0
9,2018,9,11,30,2820.0,84600.0
10,2018,9,11,28,2480.0,69440.0
76,2018,9,11,100,1500.0,150000.0
20,2018,9,11,360,500.0,180000.0
10,2018,9,11,105,2480.0,260400.0
57,2018,9,11,75,3250.0,243750.0
53,2018,9,11,100,1780.0,178000.0
65,2018,9,11,200,1780.0,356000.0
76,2018,9,11,100,1500.0,150000.0
20,2018,9,11,240,500.0,120000.0
65,2018,9,11,100,1780.0,178000.0
22,2018,9,11,25,3300.0,82500.0
9,2018,9,11,30,2820.0,84600.0
22,2018,9,11,15,3300.0,49500.0
9,2018,9,11,18,2820.0,50760.0
20,2018,9,11,240,500.0,120000.0
65,2018,9,11,150,1800.0,270000.0
76,2018,9,11,100,1500.0,150000.0
53,2018,9,11,50,1800.0,90000.0
10,2018,9,11,70,2480.0,173600.0
9,2018,9,11,60,2820.0,169200.0
22,2018,9,11,50,3300.0,165000.0
57,2018,9,11,50,3250.0,162500.0
20,2018,9,12,360,500.0,180000.0
65,2018,9,12,200,1800.0,360000.0
53,2018,9,12,150,1800.0,270000.0
57,2018,9,12,75,3250.0,243750.0
76,2018,9,12,200,1500.0,300000.0
9,2018,9,12,90,2820.0,253800.0
22,2018,9,12,75,3300.0,247500.0
10,2018,9,12,105,2480.0,260400.0
65,2018,9,12,20,1800.0,36000.0
76,2018,9,12,20,1500.0,30000.0
10,2018,9,12,7,2480.0,17360.0
9,2018,9,12,6,2820.0,16920.0
20,2018,9,12,24,510.0,12240.0
57,2018,9,12,5,3300.0,16500.0
22,2018,9,12,5,3300.0,16500.0
57,2018,9,12,7,2480.0,17360.0
65,2018,9,12,300,1800.0,540000.0
53,2018,9,12,100,1800.0,180000.0
57,2018,9,12,65,3250.0,211250.0
20,2018,9,12,240,500.0,120000.0
76,2018,9,12,300,1500.0,450000.0
10,2018,9,12,77,2480.0,190960.0
9,2018,9,12,78,2820.0,219960.0
22,2018,9,12,65,3300.0,214500.0
10,2018,9,13,35,2480.0,86800.0
9,2018,9,13,30,2820.0,84600.0
22,2018,9,13,25,3300.0,82500.0
10,2018,9,13,35,2480.0,86800.0
9,2018,9,13,30,2820.0,84600.0
22,2018,9,13,25,3300.0,82500.0
57,2018,9,13,15,3250.0,48750.0
20,2018,9,13,48,500.0,24000.0
65,2018,9,13,30,1780.0,53400.0
76,2018,9,13,30,1500.0,45000.0
10,2018,9,13,14,2480.0,34720.0
57,2018,9,13,5,3250.0,16250.0
9,2018,9,13,6,2820.0,16920.0
65,2018,9,13,50,1780.0,89000.0
57,2018,9,13,10,3250.0,32500.0
76,2018,9,13,10,1500.0,15000.0
10,2018,9,13,7,2480.0,17360.0
9,2018,9,13,6,2820.0,16920.0
22,2018,9,13,5,3300.0,16500.0
76,2018,9,16,10,1500.0,15000.0
10,2018,9,16,35,2480.0,86800.0
76,2018,9,16,50,1500.0,75000.0
9,2018,9,16,24,2820.0,67680.0
22,2018,9,16,15,3300.0,49500.0
10,2018,9,16,35,2480.0,86800.0
9,2018,9,16,30,2820.0,84600.0
57,2018,9,16,25,3250.0,81250.0
22,2018,9,16,15,3300.0,49500.0
76,2018,9,16,10,1500.0,15000.0
65,2018,9,16,10,1800.0,18000.0
9,2018,9,16,6,2850.0,17100.0
10,2018,9,16,7,2500.0,17500.0
57,2018,9,16,5,3300.0,16500.0
53,2018,9,16,10,1800.0,18000.0
20,2018,9,16,24,500.0,12000.0
10,2018,9,16,7,2480.0,17360.0
9,2018,9,16,6,2820.0,16920.0
22,2018,9,16,5,3300.0,16500.0
20,2018,9,16,24,500.0,12000.0
10,2018,9,17,7,2500.0,17500.0
9,2018,9,17,6,2850.0,17100.0
57,2018,9,17,5,3300.0,16500.0
76,2018,9,17,10,1500.0,15000.0
53,2018,9,17,10,1800.0,18000.0
65,2018,9,17,100,1800.0,180000.0
9,2018,9,17,60,2820.0,169200.0
10,2018,9,17,70,2480.0,173600.0
20,2018,9,17,48,500.0,24000.0
57,2018,9,17,25,3250.0,81250.0
10,2018,9,17,35,2480.0,86800.0
76,2018,9,17,50,1500.0,75000.0
22,2018,9,17,25,3300.0,82500.0
57,2018,9,17,10,3250.0,32500.0
10,2018,9,17,14,2480.0,34720.0
9,2018,9,17,12,2820.0,33840.0
22,2018,9,17,10,3300.0,33000.0
76,2018,9,17,100,1500.0,150000.0
27,2018,9,17,100,1500.0,150000.0
65,2018,9,17,100,1800.0,180000.0
10,2018,9,17,21,2480.0,52080.0
57,2018,9,17,10,3250.0,32500.0
9,2018,9,17,12,2820.0,33840.0
22,2018,9,17,10,3300.0,33000.0
10,2018,9,17,7,2480.0,17360.0
57,2018,9,17,5,3250.0,16250.0
76,2018,9,17,10,1500.0,15000.0
